id,本文,答え,補足説明1,補足説明2,補足説明3,補足説明4,補足説明5,サブ,サブ2,サブ3,サブ4,サブ5,サブ4_2
3,技術基準に規定されているガス事業者の掘削により周囲が露出することとなった導管の防護の基準、整圧器及び昇圧供給装置に関する次の記述のうち、誤っているものはいくつあるか。,1,露出している部分がガスの供給の用に供されている導管の印ろう型接合による接合部には、漏えいを防止する適切な措置を講ずること。,露出している部分がガスの供給の用に供されている直管以外の管の接合部であって、特定接合又は告示で定める規格に適合する接合以外の方法によって接合されているものには、抜出しを防止する適切な措置を講ずること。,導管(最高使用圧力が低圧の導管であって、内径が 100 mm 未満のものを除く。)であって、露出している部分の長さが 100 m 以上であり、かつ、当該部分がガスの供給の用に供されているものについては、危急の場合に当該部分に流入するガスを速やかに遮断することができる適切な措置を講ずること。,一の使用者にガスを供給するための整圧器には、ガスの圧力が異常に低下した場合に供給を維持する装置を設けること。,昇圧供給装置には、当該装置の運転異常又は当該装置の取扱いにより障害を生じないよう、適切な措置を講じなければならない。,,,,,,
4,法令で規定されているガス用品等に関する次の記述のうち、正しいものはいくつあるか。,4,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、政令で定めるものをいう。,ガス用品の製造又は輸入の事業を行う者は、経済産業省令で定めるガス用品の型式の区分を経済産業大臣に申請し認められなければならない。,届出事業者は、届出に係る型式のガス用品を試験用に製造又は輸入する場合においては、経済産業省令で定める技術上の基準に適合することを要しない。,届出事業者は、その届出に係る型式のガス用品の経済産業省令で定める技術上の基準に対する適合性について、規定による義務を履行したときは、当該ガス用品に経済産業省令で定めるところにより、表示を付することができる。,ガス用品が経済産業省令で定める技術上の基準に適合していない場合において、災害の発生を防止するため特に必要があると認めるとき、経済産業大臣は届出事業者に対し、1年以内の期間を定めて届出に係る型式のガス用品に表示を付することを禁止することができる。,,,,,,
4,法令で規定されている消費機器の技術上の基準に関する次の記述のうち、正しいものはいくつあるか。,2,ガスの消費量が7kW の屋内に設置するガス衣類乾燥機で、密閉燃焼式でないものには、当該燃焼器に接続して排気筒を設けること。,排気扇を接続している自然排気式の燃焼器の排気筒の有効断面積は、当該燃焼器の排気部との接続部の有効断面積より小さくないこと。,強制排気式の燃焼器の排気筒が外壁を貫通する箇所には、当該排気筒と外壁との間に排気ガスが屋内に流れ込む隙間がないこと。,燃焼器の排気筒に接続する排気扇には、これが停止した場合に当該燃焼器へのガスの供給を自動的に遮断する装置を設けること。,燃焼器であって、建物区分のうち特定地下街等に設置するものには、告示で定める規格本題に適合する自動ガス遮断装置を告示で定める方法により設けること。,,,,,,
4,液化メタン 1㎡ を気化させて、温度 27 °C、圧力 100 kPa の状態にしたときの体積(㎥)として最も近い値はどれか。ただし、液化メタンの液密度は 416kg/㎡、気体定数R = 8.3J/(mol・K)とする。,3,240,590,650,1560,3760,,,,,,
4,気体の諸性質に関する次の記述のうち、誤っているものはどれか。,2,実在気体の状態式として知られるファン・デル・ワールスの状態式は、分子間引力と気体分子の体積を考慮して理想気体の状態方程式を補正する式である。,シャルルの法則によれば、温度が一定の場合、気体の体積は圧力に反比例する。,ラウールの法則によれば、希薄溶液の蒸気圧降下は不揮発性の溶質の種類に無関係で、溶質のモル分率に比例する。,ヘンリーの法則によれば、溶解度が小さい場合、一定の温度で一定質量の液体に溶解する気体の質量は、気体の圧力に比例する。,ドルトンの分圧の法則によれば、混合気体全体の圧力(全圧)は、各成分気体の分圧の和である。,,,,,,
4,水素と窒素を体積比1:4で混合したガスを、内容積 1.0 ㎥ の空の圧力容器に充てんした。充てん後の圧力容器の質量は 46 kg 増加した。充てん後の圧力容器内の圧力(MPa)として最も近い値はどれか。ただし、容器内の混合ガスの温度は 27 °C、混合ガスは理想気体と し、気体定数 R = 8.3J/(mol・K)とする。,5,0.5,1,2,4,5,,,,,,
4,温度0°C、圧力 100kPa の気体3㎥を定圧膨張させて6㎥にした。このとき気体に与えられた熱量(MJ)として最も近い値はどれか。ただし、気体は理想気体とし、定圧モル熱容量 C= 29.2 J/(mol・K)、気体定数 R = 8.3J/(mol・K)とする。,3,0.1,0.5,1.1,1.5,2,,,,,,
4,温度300 K、圧力 100 kPaの空気1m2を断熱圧縮して0.95 m2 にした。このときの空気の温度(K)として最も近い値はどれか。ただし、空気の比熱比は1.40 とする。また、xの絶対値が1より十分小さいとき、 (1 + x)ⁿ = 1 + nx と近似できるものとする。,2,300,306,309,315,321,,,,,,
4,混合気体(CO:1.2 mol、H2O:1.2 mol)を用いて、次の CO シフト反応を進行させた。,3,1,5,25,50,100,CO(g) + H20(g) → CO2(g) + H2(g),平衡状態における CO が0.2 molである場合、平衡定数(圧平衡定数)として最も近い値はどれか。,,,,
4,一次反応において、反応物が 50%反応するのに 100秒を要した。87.5% 反応するのに要する時間(秒)として最も近い値はどれか。,5,138,175,200,250,300,,,,,,
4,プロパン 40 vol%、窒素 40 vol%、酸素 20 vol% からなる混合ガス1㎥ を空気比1で完全燃焼させるのに必要な空気量(㎥)として最も近い値はどれか。ただし、混合ガス及び空気は標準状態(0°C、101325 Pa) とし、空気中の酸素濃度は 20 vol% とする。,1,9,9.5,10,10.5,11,,,,,,
4,メタンとプロパンの混合ガスの空気中における燃焼下限界が3.8 vol% のとき、メタン(vol%)とプロパン(vol%)の混合組成として最も近い値はどれか。ただし、単体ガスの燃焼下限界は、メタン 5.0 vol%、プロパン 2.0 vol% とする。,5,メタン20、プロパン80,メタン40、プロパン60,メタン50、プロパン50,メタン60、プロパン40,メタン80、プロパン20,,,,,,
4,内径10cm の直円管内を流体が質量流量 10 kg/sで流れているときの平均流速(m/s)として最も近い値はどれか。ただし、流体の密度は 1000kg/㎥ とする。,4,1,1.1,1.2,1.3,1.4,,,,,,
4,管内の流れに関する次の記述のうち、誤っているものはどれか。,5,流体の粘性は、圧力損失の原因となる。,内径が縮小する部分では、圧力損失が大きく生じる。,オリフィスメーターを用いると、配管内の平均流速を測定することができる。,ピトー管を用いると、配管内のある1点の流速を測定することができる。,急拡大管(ディフューザ)の機能は、下流で圧力を急激に低下させるものである。,,,,,,
4,平均熱伝導率0.2W/(m・K)で厚さ0.1mの平板壁の高温側表面温度が300°C、低温側表面温度が50°Cであった。このとき平板壁を通過する熱流束(W/㎡)として最も近い値はどれか。,4,125,150,250,500,600,,,,,,
4,直円管内の完全に発達した流れにおける管摩擦係数に関する次の記述のうち、誤っているものはどれか。,4,層流の場合、管摩擦係数はレイノルズ数に反比例して小さくなる。,乱流で管壁面が粗い場合、レイノルズ数が十分に大きいと管摩擦係数はレイノルズ数に依存しなくなる。,乱流で管壁面が粗い場合、管摩擦係数は管壁面粗さが大きいほど大きくなる。,乱流で管壁面が滑らかな場合、管摩擦係数はレイノルズ数に比例して大きくなる。,ファニングの式の管摩擦係数はダルシー・ワイスバッハの式の管摩擦係数の一である。,,,,,,
4,伝熱に関する次の記述のうち、誤っているものはどれか。,4,物質を構成する粒子間の相互作用によって熱が移動する伝熱形態は、熱伝導である。,対流熱伝達は、自然対流と強制対流、相変化を伴う沸騰と凝縮等の様々な形態がある。,熱交換器は隔壁を通して高温流体より低温流体へ熱エネルギーを移動させ、加熱又は冷却を行わせる伝熱装置である。,加熱された流体が、浮力によって、鉛直上方に流れる対流現象は強制対流である。,熱放射は、物体が電磁波を発して直接的に空間を熱エネルギーが移動し、他の物体に吸収される伝熱現象である。,,,,,,
5,ガスと水が同方向に流れる熱交換器において、ガスの入口温度 500 °C、水の入口温度 20°C としたところ、ガスの出口温度は 160 °C、水の出口温度は 80 °C、伝熱量は 9.0kW となった。熱通過率 Kを8.1 W/(㎡・K)とすると、伝熱面積(㎡)として最も近い値はどれか。ただし、In 6 = 1.8とする。,2,1.5,5,12,15,20,,,,,,
5,材料の特性と力学的性質に関する次の記述のうち、誤っているものはどれか。,1,延性材料とは、破断するまでにほとんど塑性変形を伴わない材料である。,外力に対する軟鋼の変形は、比例限度まではフックの法則に則る。,応力に伴って生ずる変形量の変形前長さに対する割合をひずみという。,材料に外力を加えると内力が生じる。この内力を応力と呼び、単位断面積あたりの力として表す。,高分子材料の応力ひずみ線図では、軟鋼のような明瞭な降伏点が見られない場合がある。,,,,,,
5,構造物を構成するそれぞれの材料が安全上許容できる限度の応力を許容応力といい、基準強さ(破損限度)を安全係数で除して求められる。使用状況と基準強さ(破損限度)との組合せとして、誤っているものはどれか。,1,繰返応力を受けるとき   ---   破壊強さ,ぜい性材料が常温において静荷重を受けるとき   ---   破壊強さ,高温において静荷重を受けるとき   ---   クリープ破壊応力,延性材料が常温において静荷重を受けるとき   ---   耐力,延性材料が常温において静荷重を受けるとき   ---   降伏点,,,,,,
5,都市ガスの製造設備に関する次の記述のうち、誤っているものはいくつあるか。,3,金属二重殻式平底円筒形LNG貯槽は、気圧変化による内外槽間の窒素ガスの圧力変化を吸収するため、ブリージングタンクと呼ばれるクッションタンクが付属している。,往復式BOG圧縮機でガスを圧縮する場合、圧力が高くなりガスの温度が低下するので、多段圧縮の際は、中間加熱器を用いる。,遠心式BOG圧縮機は、弁操作等で容量調整は比較的容易であるが、流量を絞りすぎるとキャビテーションが起こる可能性がある。,サブマージド式LNG気化器は、オープンラック式LNG気化器と比べて運転費が安いため、ベースロード用に用いられることが多い。,大口径LNG配管においては、直接低温液を導入することによりボーイング現象(配管が弓状に持ち上がる現象)が発生する。このため一般的には低温のガスを用いてプレクールを行う。,,,,,,
5,都市ガスの原料としての LNG に関する次の記述のうち、誤っているものはいくつあるか。,3,LNGは貯蔵中に外部からの入熱により沸点の高いメタンを主とするボイルオフガス(BOG)が発生するため、LNGの液密度が低下する。,LNGは液化工程において、CO2、HS、水分、重質炭化水素、水銀等の不純物が除去されている。,管路内を流れるLNGを急激に締め切ったときに、流体の慣性で管内に衝撃と高圧が発生する現象をガイザリングという。,LNGは水と反応して氷に似た水和物を生成し、配管の閉そく等のトラブルを起こすので、LNGを取り扱う前に機器内を十分乾燥させる必要がある。,国内で就航中のLNG内航船の貨物タンクは、メンブレン方式が採用されており、航海中に発生するボイルオフガス(BOG)はタンクに蓄圧される。,,,,,,
5,製造所の計装設備及び電気設備に関する次の記述のうち、誤っているものはいくつあるか。,5,測温抵抗体式温度計は、金属の電気抵抗値が温度上昇によって低下する特性を利用し、測定するものである。,超音波式流量計は、流体が腐食性のものやスラリー状のもの及びダスト含有のものの影響は受けないが、温度・密度・粘度の影響は受けやすい。,電気を安全に適正に利用するためには、電気回路以外の部分へ電気が漏れないようにすることが必要であり、配線や機器では電線相互間、電線と大地間は、電気抵抗の小さい物を用いて相互を絶縁する。,非常用発電設備は、停電時に短時間で起動する必要があることから、原動機にはディーゼル機関やガスエンジンを用いることはできない。,無停電電源装置(UPS)は、鉛蓄電池、アルカリ蓄電池等の蓄電池とVVVF(可変電圧可変周波数装置)から構成される。,,,,,,
5,都市ガスの熱量調整に関する次の記述のうち、誤っているものはいくつあるか。,4,空気を用いて高発熱量ガスを希釈し熱量を調整する場合、燃焼速度(MCP)は速くなる。,空気を用いて高発熱量ガスを希釈し熱量を調整する場合、ウォッベ指数(WI)は変化しない。,LNGをLPG で熱量調整する場合、ガス - ガス熱量調整方式は、液-ガス熱量調整方式に比べ、ランニングコストが低い。,液 - ガス熱量調整方式は、LPGを気化させるための熱源として気化された天然ガス(NG)の潜熱を利用しているため、NGの温度による運転範囲の制限を受ける場合がある。,液 - 液熱量調整方式は、LNGにLPGを液体のまま混合するため、LPG中に含まれる可能性のある不純物成分の凍結による閉そく対策等が必要となる場合がある。,,,,,,
5,都市ガスの付臭に関する次の記述のうち、誤っているものはいくつあるか。,3,臭気濃度とは、試料ガスを無臭の空気で徐々に希釈していった場合に、感知できる最大の希釈倍数をいう。,ガスの臭気濃度は、低すぎると漏えいを検知しにくくなることがあるが、高すぎても特に問題は生じない。,ターシャリーブチルメルカプタン(TBM)、ジメチルサルファイド(DMS)、シクロヘキセンのうち、比較的土壌透過性が高いのはTBMである。,ターシャリーブチルメルカプタン(TBM)、ジメチルサルファイド(DMS)、シクロヘキセンは、いずれも構成元素に硫黄(S)を含む。,蒸発方式の付臭設備では、沸点が大きく異なる付臭成分を混合した付臭剤を使用した場合、各成分の蒸気圧が異なるため均一な付臭が難しくなる。,,,,,,
5,製造所の保安設備に関する次の記述のうち、誤っているものはいくつあるか。,2,ガス工作物のガス又は液化ガスを通ずる部分には、点検や修理時等に可燃物を安全に置換できるように、ガス抜き口や不活性ガスの注入口等を設置しなければならない。,停電によりガス工作物の機能が失われず、そのままガス送出を継続するために、保安電力の確保等が必要である。,人為的なミスや機器の故障時等に保安の確保を確実にするため、計装回路のうち保安上重要な箇所には、適切なインターロック機構を設ける。,LNG1次受入基地用アンローディングアームには、緊急時の安全対策として、緊急遮断システム(ESDS)や緊急離脱装置(ERS)がある。,低気温発生時、水配管は凍結防止対策等が必要であるが、LNG気化器はLNGが超低温であるため、特段の注意は必要ない。,,,,,,
5,製造設備の建設及び操業に関する次の記述のうち、誤っているものはいくつあるか。,4,レベル2地震動に対しては、構造物に変形は生じるが倒壊、漏えいは生じず、人身事故を防止するように耐震設計を行うこととしており、材料の弾性限界内での設計法(弾性設計法)により耐震性能を評価する。,個別設備の稼働調整方式のうち、圧力制御方式では、設備の運転負荷を一定に保つことができるが、急激な需要変動に追従できない可能性がある。,定期修理計画の策定にあたり、需要に対して必要な製造能力を確保できない場合は、検査期限を超えて実施する計画とすることもやむを得ない。,製造設備を安全かつ円滑に運転するため、あらかじめ運転管理基準、運転操作要領等を作成し、それに従って関係者の教育・訓練、及び日常の監視、現場パトロール等を実施し、適切な管理を行う。,警報や異常が発生した場合にはその初期段階で適切な処置を行うが、やむを得ず製造設備を緊急停止する場合は、定められた手順にこだわらず運転員の判断で停止させる。,,,,,,
5,製造設備の保全に関する次の記述のうち、誤っているものはいくつあるか。,1,生産保全とは、予防保全と事後保全をバランス良く実施するだけでなく、設備の改良活動や新設備の建設までさかのぼり経済性を追求しようとする保全の考え方で、予防保全(PM)、事後保全(BM)、改良保全(CM)、保全予防(MP)の4つを柱としている。,リスクベース保全(RBM)は、高経年化した設備の各部位に対する保全の重要度、緊急度を損傷事例や寿命評価理論を基に評価し、(リスク) = (発生した場合の影響度) × (発生確率)で表して優先度をつける保全方式である。,鉄鋼材料では、繰り返し荷重を加えてもある応力振幅以下では無限に繰り返しても破断しない。この応力振幅を疲労限度という。アルミニウム合金等の非鉄合金では明確な疲労限度が存在しない。,局所的に深い孔状の浸食を生じる形式の腐食を孔食という。炭素鋼の孔食はしばしば通気差電池の形成によって生じる。通気差電池とは溶存酸素の供給が部分によって異なる結果、生成する腐食電池のことである。,ポンプ、圧縮機の軸封部のうちグランドパッキン方式やメカニカル方式については、漏れが生じた場合、増締めにより止まることもあるが、ほとんどの場合には劣化しているため、取り替える必要がある。,,,,,,
5,環境対策及び省エネルギーに関する次の記述のうち、誤っているものはいくつあるか。,2,二段燃焼とは、燃焼空気を二段に分けて供給しNOxの生成を抑制する方法であり、一段目で計算上必要とされる量より多い空気で燃焼させ、二段目でさらに空気を送り完全燃焼させる。,燃焼排ガスの脱帽法のうち、多くは、還元剤としてアンモニア、尿素等を用いて排ガス中のNOxを選択的に窒素に還元する乾式法が利用されている。,SS とは水中に浮遊又は懸濁している直径2mm以下の粒子状物質のことで、水の外見上のきれいさを決める要件の一つで、懸濁物質と呼ばれることもある。,LNGの冷熱利用は省エネルギーの有効な手段であり、一般にLNGの冷熱エネルギーの40~50% は、ガス送出圧力エネルギーとして回収されており、残りの未利用の冷熱エネルギーの利用が工夫されている。,ポンプの流量を制御する方式のうち、流路に調節弁を設けて開閉により行う流量制御方式は、流量を絞った場合に調節弁での動力損失が少なく、駆動電動機の回転数を制御する方式と同等の省エネルギー効果が得られる。,,,,,,
5,整圧器に関する次の記述のうち、誤っているものはいくつあるか。,2,フィッシャー式整圧器は、需要家のガス使用量が増加するとパイロットダイヤフラムが降下し、駆動圧力が上昇する。,直動式整圧器は、一次圧力が変化するとメインバルブの平衡位置が変化するため二次圧力もシフトする。,パイロット式アンローディング型整圧器は、メインバルブが全閉時に駆動圧力が最も高くなるため、駆動圧力以上の一次圧力が確保されないとメインバルブが閉止不能となる。,レイノルド式整圧器の二次圧異常上昇の原因として、低圧補助ガバナ(パイロット)の締め切り不良が考えられる。,アキシャルフロー式(軸流式)整圧器は、二次圧力が設定圧力を下回ったとき、パイロットダイヤフラムを押し上げる力がパイロットスプリングの力に打ち勝ち、パイロット系を流れるガスの流量を増加させる。,,,,,,
5,ガスメーターの構造及び機能に関する次の記述のうち、誤っているものはいくつあるか。,3,回転子式ガスメーターは、メーター前後に直管が必要であり、ガスの圧力が高い場合には圧力補正装置を取り付けて使用する。,渦流式ガスメーターは、カルマン渦の発生周波数から積算流量を測定する。,サーマルフロー式ガスメーターは、ダスト・ミストの影響を避けるための専用のフィルターが必要である。,タービン式ガスメーターは、流れの中に置いた羽根車の回転速度が流量に比例する原理を利用したメーターで、流量を容積計量する。,超音波式ガスメーターは、超音波を用いて流量を推測計量する。,,,,,,
5,腐食と防食に関する次の記述のうち、正しいものはいくつあるか。,1,選択排流法とは、導管と電気鉄道のレールを接続する回路に直流電源装置を入れることで、レールに排流する方法である。,電気防食により管の電位を下げ過ぎると、鋼の表面に水素ガスが発生し、鋼の組織に拡散するとともに、塗覆装の剥離が発生しやすくなる。,鋳鉄管と鋼管が電気的に接続されている場合、鋳鉄管がアノードとなり腐食する傾向がある。,地表面電位勾配とは、土壌、コンクリート等の電解質に設置した照合電極に対する導管の電位である。,管路調査では、管路における防食状況(塗覆、電気防食、絶縁)及びマクロセル腐食でアノード部となるコンクリート貫通部等を調査する。,,,,,,
6,導管の工事に関する次の記述のうち、誤っているものはいくつあるか。,2,低圧管のガスの遮断に際し、ノーブロー工法を用いて、作業時の管内圧力の急激な変化や漏出ガスによる臭気の発生を防止した。,中圧管の切断連絡に際し、バルブ操作により低圧の所定の圧力まで減圧したので、ガスバッグで遮断した箇所に放散管を設置しなかった。,電気防食を施した鋼管の切断にあたって、電気防食施設の電源を切っておき、さらに切断予定箇所の両端を短絡させた。,溶接部等の放射線透過試験を行うために、エックス線管の焦点又は放射線源から3m以内のエリアを立入禁止区域として明示し、放射線業務従事者以外の第三者の立入を禁止した。,バルブピット内の作業に際し、酸素欠乏による災害を防止するため、常時作業の状況を監視し、異常時には直ちに応急措置及び関係者への通報ができるよう作業を2名で行った。,,,,,,
6,溶接と非破壊試験に関する次の記述のうち、誤っているものはいくつあるか。,4,被覆アーク溶接は、心線に被覆剤(フラックス)を塗った溶接棒自体を電極として、母材と溶接棒の間隙にアークを発生させ、溶接棒がアークの熱によって溶け、母材の一部と融合することで溶接する。,ティグ溶接は、電極と母材間でアークを発生させ、母材上の溶融池にワイヤを供給する溶接方法であり、溶融池の熱のみでワイヤを溶融させるため溶接速度が速い。,溶込み不良とは、溶接金属と母材又は溶接金属同士が溶着していない状態をいう。,放射線透過写真によるきずの種別は第1種から第4種まで区別され、丸いブローホール及びこれに類するきずは第4種となる。,超音波探傷試験は、検査物の片側だけから検査できるが、きずまでの距離やきずの高さは測定できない。,,,,,,
6,A点からB点にガスを 50 m2/h 供給している低圧導管 AB(延長100 m)において、A点の圧力PAは 2.3kPa、B点の圧力は、2.2 kPaであった。今、下図のようにB点からさらに100 m延長して、C点にも 50 m2/hを供給する計画となった。A点での圧力を2.3kPaのままとし、同一口径で延長した場合のC点の圧力(kPa)として最も近い値はどれか。ただし、AB間、BC間とも高低差は考慮しないものとする。,4,,,,,,(1)　2.1,(2)　2.0,(3)　1.9,(4)　1.8,(5)　1.7,
6,導管の維持管理に関する次の記述のうち、正しいものはいくつあるか。,3,水素炎イオン化式ガス検知器(FID)は、水素炎の中に可燃性ガスが入ると、炎の電気伝導度が増大する現象を利用したものであり、すべての可燃性ガスを検知できる。,緊急ガス遮断装置の点検では、瞬時に閉動作が行われ、かつ確実に遮断されることを確認する。,中圧鋼管で腐食による漏えいが発生したため、緊急修理用バンドを用いて応急処置を行った。,地震時の漏えい予防として、低圧の本支管に反転シール系の更生修理工法を適用した。,漏えい磁束ピグは、主として高圧導管の塗覆装の損傷を検査するために用いられる。,,,,,,
6,地震対策に関する次の記述のうち、誤っているものはいくつあるか。,2,高圧導管の耐震性評価において、レベル1地震動に対する直管の接合部や異形管部の許容ひずみは 3.0% である。,中・低圧導管は、地盤変位吸収能力と設計地盤変位を比較することで、耐震性を評価する。,ガス防災支援システム(G-React)は、大規模地震発生時に早期復旧のため、国、ガス事業者が被害情報、復旧活動に必要な情報の共有を図るものである。,単位ブロックとは、供給停止した地域内のガスの復旧作業を効率的に実施するため、供給停止ブロックを更に分割して得られるブロックをいう。,移動式ガス発生設備には、「空気吸入式(PA式)」、「圧縮ガス式(CNG式)」、「液化ガス式(LNG式)」がある。,,,,,,
6,ガスの性質と燃焼に関する次の記述のうち、正しいものはいくつあるか。,2,都市ガスの理論空気量は、その都市ガスを構成する各ガス成分の含有率から算出できる。,ガス機器が単位時間に消費する熱量は、ノズルの口径が一定の場合、ガス圧力とウォッベ指数とに比例する。,空気中におけるメタンの着火温度は、プロパンの着火温度より低い。,燃焼速度はガスの成分、ガスと空気の混合割合、混合ガスの温度及び混合ガスの圧力等によって異なる。,真発熱量は総発熱量から潜熱を差し引いたものであり、供給ガスの発熱量には一般に真発熱量が用いられる。,,,,,,
6,ガスの燃焼に関する次の記述のうち、正しいものはいくつあるか。,5,全一次空気燃焼式は、フラッシュバックしやすい燃焼方式である。,パイロットバーナーには、主にセミ・ブンゼン燃焼式が用いられる。,ガスの噴出速度に比べ、燃焼速度がバランス点以下に低下すると、炎のリフティングが生じる。,一般に、燃焼速度が速くなると燃焼騒音は大きくなる。,サーマルNOxの生成量は、燃焼ガス温度や滞留時間と正の相関がある。,,,,,,
6,家庭用ガス温水機器に関する次の記述のうち、正しいものはいくつあるか。,5,瞬間湯沸器には、あと沸きや冷水サンドイッチ現象を解消する機能を搭載しているものがある。,給湯暖房用熱源機には、機器の状態確認、ふろの湯張り及び床暖房運転等を遠隔で行うことができるものがある。,元止め式瞬間湯沸器は、湯を使用する場所に取り付けられ、湯沸器の出湯管から直接湯を使う機器である。,ふろがまには、浴槽内の水を加熱するための熱交換器(かま本体)とふろバーナーが一体 - 構造となっているもの、及び設置の際に組合せるものがある。,給湯暖房システムにおける暖房用温水の温度制御では、2温度コントロール方式が主流である。,,,,,,
6,家庭用ガス機器に関する次の記述のうち、正しいものはいくつあるか。,1,こんろの焦げ付き消火機能とは、立ち消え安全装置の温度センサーを利用して、鍋が焦げ付き始めると自動消火する機能である。,こんろに装備される中火点火機能は、使用時の点火不良を防止するためのものである。,ファンヒーターの室温自動制御機能には、温度センサーとして主に熱電対が使用されている。,赤外線ストーブには、8時間燃焼を継続すると自動的に運転を停止する機能が装備されている。,現在販売されている衣類乾燥機には、油が付着したタオルや衣類が自然発火しないよう、冷却運転機能が装備されている。,,,,,,
6,コージェネレーションシステムとガス冷暖房機器に関する次の記述のうち、誤っているものはいくつあるか。,4,燃料電池は電解質の種類によって分類され、固体高分子形、りん酸形、固体酸化物形、溶融炭酸塩形等がある。,固体高分子形燃料電池は、燃料ガス中の硫黄分を取り除く脱硫装置は備えているが、CO変成器、CO選択酸化器は備えていない。,固体酸化物形燃料電池は、作動温度が約700°C であり、原則として毎日起動・停止する。,吸収冷凍機における二重効用吸収冷凍サイクルでは、単効用吸収冷凍サイクルに比べ、冷却水に捨てられる熱の比率が大きい。,圧縮式の冷暖房機器では、膨張弁で冷媒ガス通路を切り替えることにより、冷房運転と暖房運転とを切り替える。,,,,,,
6,換気と一酸化炭素(CO)中毒に関する次の記述のうち、誤っているものはいくつあるか。,3,自然換気における空気の流れを起こす力の種類には、風圧を利用したものと、空気の温度差によって生じる浮力を利用したものとがある。,必要換気量とは、室内の CO 濃度をある限界以下に保つための換気量の最小値のことである。,調理室の必要換気量は次の式で求められ、排気フード I型を使用する場合の定数は 40である。必要換気量(m3/h) = 定数 x 理論排ガス量(m2/kWh) × 燃料消費量(kW),自然換気回数が 0.5 であれば、1時間あたりの自然換気量は室の容積の2倍である。,CO は、ヘモグロビンに対する結合力が酸素の 200 ~ 300 倍強い。,,,,,,
6,熱交換器において高温流体の入口温度が300°Cで出口温度が150°Cであった。低温流体の入口温度は50°Cであった。このときの高温流体の温度効率(%)として最も近い値はどれか。,4,25,40,50,60,83,,,,,,
6,家庭用ガス温水機器の設置に関する次の記述のうち、誤っているものはいくつあるか。,1,合計インプットが6kW を超える開放式機器を調理室以外の部屋に設置する場合、機械換気が必要である。,自然排気式機器を設置する部屋には、ガス機器の排気筒断面積以上の有効開口面積をもつ給気口が必要である。,強制排気式機器の燃焼室は、設置される部屋の空気から遮断されているため、専用の給気口は必要ない。,"集合住宅の開放廊下に面したパイプシャフト内部(壁面等)に温水機器を設置する場合に 
は、強制給排気式機器を用いる必要がある。",屋外式機器には、自然給排気式機器の給排気筒トップが取り付けられていた壁貫通部に設置できるものがある。,,,,,,
6,ガス機器の安全装置に関する次の記述のうち、誤っているものはいくつあるか。,3,ファンヒーターの不完全燃焼防止装置には、立ち消え安全装置と兼用でサーミスターが用いられている。,誘導雷保護装置とは、雷サージ電流を接地線側にバイパスし、機器に加わる電圧を低く制限することにより機器を保護するものである。,現在販売されているBF式ふろがまに搭載されている冠水検知装置には、電極式とサーミスター式とがある。,過圧防止安全装置は、瞬間湯沸器や貯湯湯沸器の缶体内の水圧が一定値以上に上昇した場合に、ガスの供給を遮断するものである。,熱電対式立ち消え安全装置の電磁弁に適正な起電力を送るための熱電対の加熱温度は、約600〜700°Cである。,,,,,,
6,ガス機器とガス栓との接続に関する次の記述のうち、誤っているものはいくつあるか。,1,ガス栓用プラグは、ホースエンド口に取り付けることでコンセントロ化する先端弁付迅速継手である。,ガスコードは、鋼線で補強されたゴム製ホースの両端に、迅速継手が取り付けられた定尺の接続具である。,強化ガスホースは、ゴム管の可とう性を有し、耐切断性能や耐候性能等に優れた接続具である。,ガスコンセントは、迅速継手のソケットを接続するだけで栓が自動的に開き、外すと閉じるガス栓である。,オンオフ機構を有するガス栓では、つまみが半開状態で接続具が外れた場合、ヒューズ機構が作動せずガスが流出する。,,,,,,
6,次のガス事故のうち、ガス事故速報を報告することが法令で規定されている事故に、いずれも該当しないものの組合せはどれか。ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く。,3,ガス工作物(ガス栓を除く。)の損傷により人が負傷した事故,製造支障事故であって、製造支障時間が6時間のもの,供給支障事故であって、供給支障戸数が 500 のもの,最高使用圧力が低圧の主要なガス工作物(ガス栓を除く。)の損壊事故,ガス栓の損壊によりガス栓から漏えいしたガスに引火することにより、発生した負傷事故,,,,,,
6,法令で規定されているガス主任技術者に関する次の記述のうち、いずれも誤っているものの組合せはどれか。,1,ガス工作物の設置の工事であって、経済産業省令で定める工事に従事する者は、ガス主任技術者でなければならない。,一般ガス導管事業者は、ガス主任技術者を選任するときは、事前にその旨を経済産業大臣に届け出なければならない。これを解任するときも、同様とする。,ガス主任技術者試験は、ガス工作物の工事、維持及び運用に関する保安に関して必要な知識及び技能について行う。,ガス主任技術者は、誠実にその職務を行わなければならない。,経済産業大臣は、ガス主任技術者がこの法律に違反したときは、一般ガス導管事業者に対し、ガス主任技術者の解任を命ずることができる。,,,,,,
